<14>Jan 11 10:58:31 806_irp_llrp: [DBG][main.c:194 execIrpserver_sockfd]currentConnType = 0, connect from 192.168.1.200
<14>Jan 11 10:58:31 806_irp_llrp: [INFO][main.c:29 sigusr2_opt]reader_fds is updated
<14>Jan 11 10:58:41 806_irp_llrp: [DBG][../boards2/readeropt.c:1947 APP_processor_firmware_upgrade]update:CRC_temp=f702; all_packet=6b1; update_firmware_sz=3585a
<14>Jan 11 10:58:41 806_irp_llrp: [DBG][../boards2/readeropt.c:2018 APP_processor_firmware_upgrade]f_addr=1; curt_pkgs=2; len=84; temp_len=128; 
<14>Jan 11 10:58:41 806_irp_llrp: [DBG][../boards2/readeropt.c:2018 APP_processor_firmware_upgrade]f_addr=2; curt_pkgs=3; len=84; temp_len=128; 
<14>Jan 11 10:58:41 806_irp_llrp: [DBG][../boards2/readeropt.c:2018 APP_processor_firmware_upgrade]f_addr=3; curt_pkgs=4; len=84; temp_len=128; 
<14>Jan 11 10:58:41 806_irp_llrp: [DBG][../boards2/readeropt.c:2018 APP_processor_firmware_upgrade]f_addr=4; curt_pkgs=5; len=84; temp_len=128; 
<14>Jan 11 10:58:41 806_irp_llrp: [DBG][../boards2/readeropt.c:2018 APP_processor_firmware_upgrade]f_addr=5; curt_pkgs=6; len=84; temp_len=128; 
<14>Jan 11 10:58:41 806_irp_llrp: [DBG][../boards2/readeropt.c:2018 APP_processor_firmware_upgrade]f_addr=6; curt_pkgs=7; len=84; temp_len=128; 
<14>Jan 11 10:58:41 806_irp_llrp: [DBG][../boards2/readeropt.c:2018 APP_processor_firmware_upgrade]f_addr=7; curt_pkgs=8; len=84; temp_len=128; 
<14>Jan 11 10:58:41 806_irp_llrp: [DBG][../boards2/readeropt.c:2018 APP_processor_firmware_upgrade]f_addr=8; curt_pkgs=9; len=84; temp_len=128; 
<14>Jan 11 10:58:41 806_irp_llrp: [DBG][../boards2/readeropt.c:2018 APP_processor_firmware_upgrade]f_addr=9; curt_pkgs=a; len=84; temp_len=128; 
<14>Jan 11 10:58:41 806_irp_llrp: [DBG][../boards2/readeropt.c:2018 APP_processor_firmware_upgrade]f_addr=a; curt_pkgs=b; len=84; temp_len=128; 
<14>Jan 11 10:58:41 806_irp_llrp: [DBG][../boards2/readeropt.c:2018 APP_processor_firmware_upgrade]f_addr=b; curt_pkgs=c; len=84; temp_len=128; 
<14>Jan 11 10:58:41 806_irp_llrp: [DBG][../boards2/readeropt.c:2018 APP_processor_firmware_upgrade]f_addr=c; curt_pkgs=d; len=84; temp_len=128; 
<14>Jan 11 10:58:41 806_irp_llrp: [DBG][../boards2/readeropt.c:2018 APP_processor_firmware_upgrade]f_addr=d; curt_pkgs=e; len=84; temp_len=128; 
<14>Jan 11 10:58:41 806_irp_llrp: [DBG][../boards2/readeropt.c:2018 APP_processor_firmware_upgrade]f_addr=e; curt_pkgs=f; len=84; temp_len=128; 
<14>Jan 11 10:58:41 806_irp_llrp: [DBG][../boards2/readeropt.c:2018 APP_processor_firmware_upgrade]f_addr=f; curt_pkgs=10; len=84; temp_len=128; 
<14>Jan 11 10:58:41 806_irp_llrp: [DBG][../boards2/readeropt.c:2018 APP_processor_firmware_upgrade]f_addr=10; curt_pkgs=11; len=84; temp_len=128; 
<14>Jan 11 10:58:41 806_irp_llrp: [DBG][../boards2/readeropt.c:2018 APP_processor_firmware_upgrade]f_addr=11; curt_pkgs=12; len=84; temp_len=128; 
<14>Jan 11 10:58:41 806_irp_llrp: [DBG][../boards2/readeropt.c:2018 APP_processor_firmware_upgrade]f_addr=12; curt_pkgs=13; len=84; temp_len=128; 
<14>Jan 11 10:58:41 806_irp_llrp: [DBG][../boards2/readeropt.c:2018 APP_processor_firmware_upgrade]f_addr=13; curt_pkgs=14; len=84; temp_len=128; 
<14>Jan 11 10:58:41 806_irp_llrp: [DBG][../boards2/readeropt.c:2018 APP_processor_firmware_upgrade]f_addr=14; curt_pkgs=15; len=84; temp_len=128; 
<14>Jan 11 10:58:41 806_irp_llrp: [DBG][../boards2/readeropt.c:2018 APP_processor_firmware_upgrade]f_addr=15; curt_pkgs=16; len=84; temp_len=128; 
<14>Jan 11 10:58:41 806_irp_llrp: [DBG][../boards2/readeropt.c:2018 APP_processor_firmware_upgrade]f_addr=16; curt_pkgs=17; len=84; temp_len=128; 
<14>Jan 11 10:58:41 806_irp_llrp: [DBG][../boards2/readeropt.c:2018 APP_processor_firmware_upgrade]f_addr=17; curt_pkgs=18; len=84; temp_len=128; 
<14>Jan 11 10:58:41 806_irp_llrp: [DBG][../boards2/readeropt.c:2018 APP_processor_firmware_upgrade]f_addr=18; curt_pkgs=19; len=84; temp_len=128; 
<14>Jan 11 10:58:41 806_irp_llrp: [DBG][../boards2/readeropt.c:2018 APP_processor_firmware_upgrade]f_addr=19; curt_pkgs=1a; len=84; temp_len=128; 
<14>Jan 11 10:58:41 806_irp_llrp: [DBG][../boards2/readeropt.c:2018 APP_processor_firmware_upgrade]f_addr=1a; curt_pkgs=1b; len=84; temp_len=128; 
<14>Jan 11 10:58:41 806_irp_llrp: [DBG][../boards2/readeropt.c:2018 APP_processor_firmware_upgrade]f_addr=1b; curt_pkgs=1c; len=84; temp_len=128; 
<14>Jan 11 10:58:41 806_irp_llrp: [DBG][../boards2/readeropt.c:2018 APP_processor_firmware_upgrade]f_addr=1c; curt_pkgs=1d; len=84; temp_len=128; 
<14>Jan 11 10:58:41 806_irp_llrp: [DBG][../boards2/readeropt.c:2018 APP_processor_firmware_upgrade]f_addr=1d; curt_pkgs=1e; len=84; temp_len=128; 
<14>Jan 11 10:58:41 806_irp_llrp: [DBG][../boards2/readeropt.c:2018 APP_processor_firmware_upgrade]f_addr=1e; curt_pkgs=1f; len=84; temp_len=128; 
<14>Jan 11 10:58:41 806_irp_llrp: [DBG][../boards2/readeropt.c:2018 APP_processor_firmware_upgrade]f_addr=1f; curt_pkgs=20; len=84; temp_len=128; 
<14>Jan 11 10:58:41 806_irp_llrp: [DBG][../boards2/readeropt.c:2018 APP_processor_firmware_upgrade]f_addr=20; curt_pkgs=21; len=84; temp_len=128; 
<14>Jan 11 10:58:41 806_irp_llrp: [DBG][../boards2/readeropt.c:2018 APP_processor_firmware_upgrade]f_addr=21; curt_pkgs=22; len=84; temp_len=128; 
<14>Jan 11 10:58:41 806_irp_llrp: [DBG][../boards2/readeropt.c:2018 APP_processor_firmware_upgrade]f_addr=22; curt_pkgs=23; len=84; temp_len=128; 
<14>Jan 11 10:58:41 806_irp_llrp: [DBG][../boards2/readeropt.c:2018 APP_processor_firmware_upgrade]f_addr=23; curt_pkgs=24; len=84; temp_len=128; 
<14>Jan 11 10:58:41 806_irp_llrp: [DBG][../boards2/readeropt.c:2018 APP_processor_firmware_upgrade]f_addr=24; curt_pkgs=25; len=84; temp_len=128; 
<14>Jan 11 10:58:41 806_irp_llrp: [DBG][../boards2/readeropt.c:2018 APP_processor_firmware_upgrade]f_addr=25; curt_pkgs=26; len=84; temp_len=128; 
<14>Jan 11 10:58:41 806_irp_llrp: [DBG][../boards2/readeropt.c:2018 APP_processor_firmware_upgrade]f_addr=26; curt_pkgs=27; len=84; temp_len=128; 
<14>Jan 11 10:58:41 806_irp_llrp: [DBG][../boards2/readeropt.c:2018 APP_processor_firmware_upgrade]f_addr=27; curt_pkgs=28; len=84; temp_len=128; 
<14>Jan 11 10:58:41 806_irp_llrp: [DBG][../boards2/readeropt.c:2018 APP_processor_firmware_upgrade]f_addr=28; curt_pkgs=29; len=84; temp_len=128; 
<14>Jan 11 10:58:41 806_irp_llrp: [DBG][../boards2/readeropt.c:2018 APP_processor_firmware_upgrade]f_addr=29; curt_pkgs=2a; len=84; temp_len=128; 
<14>Jan 11 10:58:41 806_irp_llrp: [DBG][../boards2/readeropt.c:2018 APP_processor_firmware_upgrade]f_addr=2a; curt_pkgs=2b; len=84; temp_len=128; 
<14>Jan 11 10:58:41 806_irp_llrp: [DBG][../boards2/readeropt.c:2018 APP_processor_firmware_upgrade]f_addr=2b; curt_pkgs=2c; len=84; temp_len=128; 
<14>Jan 11 10:58:41 806_irp_llrp: [DBG][../boards2/readeropt.c:2018 APP_processor_firmware_upgrade]f_addr=2c; curt_pkgs=2d; len=84; temp_len=128; 
<14>Jan 11 10:58:41 806_irp_llrp: [DBG][../boards2/readeropt.c:2018 APP_processor_firmware_upgrade]f_addr=2d; curt_pkgs=2e; len=84; temp_len=128; 
<14>Jan 11 10:58:41 806_irp_llrp: [DBG][../boards2/readeropt.c:2018 APP_processor_firmware_upgrade]f_addr=2e; curt_pkgs=2f; len=84; temp_len=128; 
<14>Jan 11 10:58:41 806_irp_llrp: [DBG][../boards2/readeropt.c:2018 APP_processor_firmware_upgrade]f_addr=2f; curt_pkgs=30; len=84; temp_len=128; 
<14>Jan 11 10:58:41 806_irp_llrp: [DBG][../boards2/readeropt.c:2018 APP_processor_firmware_upgrade]f_addr=30; curt_pkgs=31; len=84; temp_len=128; 
<14>Jan 11 10:58:41 806_irp_llrp: [DBG][../boards2/readeropt.c:2018 APP_processor_firmware_upgrade]f_addr=31; curt_pkgs=32; len=84; temp_len=128; 
<14>Jan 11 10:58:41 806_irp_llrp: [DBG][../boards2/readeropt.c:2018 APP_processor_firmware_upgrade]f_addr=32; curt_pkgs=33; len=84; temp_len=128; 
<14>Jan 11 10:58:41 806_irp_llrp: [DBG][../boards2/readeropt.c:2018 APP_processor_firmware_upgrade]f_addr=33; curt_pkgs=34; len=84; temp_len=128; 
<14>Jan 11 10:58:41 806_irp_llrp: [DBG][../boards2/readeropt.c:2018 APP_processor_firmware_upgrade]f_addr=34; curt_pkgs=35; len=84; temp_len=128; 
<14>Jan 11 10:58:41 806_irp_llrp: [DBG][../boards2/readeropt.c:2018 APP_processor_firmware_upgrade]f_addr=35; curt_pkgs=36; len=84; temp_len=128; 
<14>Jan 11 10:58:41 806_irp_llrp: [DBG][../boards2/readeropt.c:2018 APP_processor_firmware_upgrade]f_addr=36; curt_pkgs=37; len=84; temp_len=128; 
<14>Jan 11 10:58:41 806_irp_llrp: [DBG][../boards2/readeropt.c:2018 APP_processor_firmware_upgrade]f_addr=37; curt_pkgs=38; len=84; temp_len=128; 
<14>Jan 11 10:58:41 806_irp_llrp: [DBG][../boards2/readeropt.c:2018 APP_processor_firmware_upgrade]f_addr=38; curt_pkgs=39; len=84; temp_len=128; 
<14>Jan 11 10:58:41 806_irp_llrp: [DBG][../boards2/readeropt.c:2018 APP_processor_firmware_upgrade]f_addr=39; curt_pkgs=3a; len=84; temp_len=128; 
<14>Jan 11 10:58:41 806_irp_llrp: [DBG][../boards2/readeropt.c:2018 APP_processor_firmware_upgrade]f_addr=3a; curt_pkgs=3b; len=84; temp_len=128; 
<14>Jan 11 10:58:41 806_irp_llrp: [DBG][../boards2/readeropt.c:2018 APP_processor_firmware_upgrade]f_addr=3b; curt_pkgs=3c; len=84; temp_len=128; 
<14>Jan 11 10:58:41 806_irp_llrp: [DBG][../boards2/readeropt.c:2018 APP_processor_firmware_upgrade]f_addr=3c; curt_pkgs=3d; len=84; temp_len=128; 
<14>Jan 11 10:58:41 806_irp_llrp: [DBG][../boards2/readeropt.c:2018 APP_processor_firmware_upgrade]f_addr=3d; curt_pkgs=3e; len=84; temp_len=128; 
<14>Jan 11 10:58:41 806_irp_llrp: [DBG][../boards2/readeropt.c:2018 APP_processor_firmware_upgrade]f_addr=3e; curt_pkgs=3f; len=84; temp_len=128; 
<14>Jan 11 10:58:41 806_irp_llrp: [DBG][../boards2/readeropt.c:2018 APP_processor_firmware_upgrade]f_addr=3f; curt_pkgs=40; len=84; temp_len=128; 
<14>Jan 11 10:58:41 806_irp_llrp: [DBG][../boards2/readeropt.c:2018 APP_processor_firmware_upgrade]f_addr=40; curt_pkgs=41; len=84; temp_len=128; 
<14>Jan 11 10:58:41 806_irp_llrp: [DBG][../boards2/readeropt.c:2018 APP_processor_firmware_upgrade]f_addr=41; curt_pkgs=42; len=84; temp_len=128; 
<14>Jan 11 10:58:41 806_irp_llrp: [DBG][../boards2/readeropt.c:2018 APP_processor_firmware_upgrade]f_addr=42; curt_pkgs=43; len=84; temp_len=128; 
<14>Jan 11 10:58:41 806_irp_llrp: [DBG][../boards2/readeropt.c:2018 APP_processor_firmware_upgrade]f_addr=43; curt_pkgs=44; len=84; temp_len=128; 
<14>Jan 11 10:58:41 806_irp_llrp: [DBG][../boards2/readeropt.c:2018 APP_processor_firmware_upgrade]f_addr=44; curt_pkgs=45; len=84; temp_len=128; 
<14>Jan 11 10:58:41 806_irp_llrp: [DBG][../boards2/readeropt.c:2018 APP_processor_firmware_upgrade]f_addr=45; curt_pkgs=46; len=84; temp_len=128; 
<14>Jan 11 10:58:41 806_irp_llrp: [DBG][../boards2/readeropt.c:2018 APP_processor_firmware_upgrade]f_addr=46; curt_pkgs=47; len=84; temp_len=128; 
<14>Jan 11 10:58:41 806_irp_llrp: [DBG][../boards2/readeropt.c:2018 APP_processor_firmware_upgrade]f_addr=47; curt_pkgs=48; len=84; temp_len=128; 
<14>Jan 11 10:58:41 806_irp_llrp: [DBG][../boards2/readeropt.c:2018 APP_processor_firmware_upgrade]f_addr=48; curt_pkgs=49; len=84; temp_len=128; 
<14>Jan 11 10:58:41 806_irp_llrp: [DBG][../boards2/readeropt.c:2018 APP_processor_firmware_upgrade]f_addr=49; curt_pkgs=4a; len=84; temp_len=128; 
<14>Jan 11 10:58:41 806_irp_llrp: [DBG][../boards2/readeropt.c:2018 APP_processor_firmware_upgrade]f_addr=4a; curt_pkgs=4b; len=84; temp_len=128; 
<14>Jan 11 10:58:41 806_irp_llrp: [DBG][../boards2/readeropt.c:2018 APP_processor_firmware_upgrade]f_addr=4b; curt_pkgs=4c; len=84; temp_len=128; 
<14>Jan 11 10:58:41 806_irp_llrp: [DBG][../boards2/readeropt.c:2018 APP_processor_firmware_upgrade]f_addr=4c; curt_pkgs=4d; len=84; temp_len=128; 
<14>Jan 11 10:58:41 806_irp_llrp: [DBG][../boards2/readeropt.c:2018 APP_processor_firmware_upgrade]f_addr=4d; curt_pkgs=4e; len=84; temp_len=128; 
<14>Jan 11 10:58:41 806_irp_llrp: [DBG][../boards2/readeropt.c:2018 APP_processor_firmware_upgrade]f_addr=4e; curt_pkgs=4f; len=84; temp_len=128; 
<14>Jan 11 10:58:41 806_irp_llrp: [DBG][../boards2/readeropt.c:2018 APP_processor_firmware_upgrade]f_addr=4f; curt_pkgs=50; len=84; temp_len=128; 
<14>Jan 11 10:58:41 806_irp_llrp: [DBG][../boards2/readeropt.c:2018 APP_processor_firmware_upgrade]f_addr=50; curt_pkgs=51; len=84; temp_len=128; 
<14>Jan 11 10:58:41 806_irp_llrp: [DBG][../boards2/readeropt.c:2018 APP_processor_firmware_upgrade]f_addr=51; curt_pkgs=52; len=84; temp_len=128; 
<14>Jan 11 10:58:41 806_irp_llrp: [DBG][../boards2/readeropt.c:2018 APP_processor_firmware_upgrade]f_addr=52; curt_pkgs=53; len=84; temp_len=128; 
<14>Jan 11 10:58:41 806_irp_llrp: [DBG][../boards2/readeropt.c:2018 APP_processor_firmware_upgrade]f_addr=53; curt_pkgs=54; len=84; temp_len=128; 
<14>Jan 11 10:58:41 806_irp_llrp: [DBG][../boards2/readeropt.c:2018 APP_processor_firmware_upgrade]f_addr=54; curt_pkgs=55; len=84; temp_len=128; 
<14>Jan 11 10:58:41 806_irp_llrp: [DBG][../boards2/readeropt.c:2018 APP_processor_firmware_upgrade]f_addr=55; curt_pkgs=56; len=84; temp_len=128; 
<14>Jan 11 10:58:41 806_irp_llrp: [DBG][../boards2/readeropt.c:2018 APP_processor_firmware_upgrade]f_addr=56; curt_pkgs=57; len=84; temp_len=128; 
<14>Jan 11 10:58:41 806_irp_llrp: [DBG][../boards2/readeropt.c:2018 APP_processor_firmware_upgrade]f_addr=57; curt_pkgs=58; len=84; temp_len=128; 
<14>Jan 11 10:58:41 806_irp_llrp: [DBG][../boards2/readeropt.c:2018 APP_processor_firmware_upgrade]f_addr=58; curt_pkgs=59; len=84; temp_len=128; 
<14>Jan 11 10:58:41 806_irp_llrp: [DBG][../boards2/readeropt.c:2018 APP_processor_firmware_upgrade]f_addr=59; curt_pkgs=5a; len=84; temp_len=128; 
<14>Jan 11 10:58:41 806_irp_llrp: [DBG][../boards2/readeropt.c:2018 APP_processor_firmware_upgrade]f_addr=5a; curt_pkgs=5b; len=84; temp_len=128; 
